label,display,sample_bucket,source,run,setting,candidate_id,candidate_uid,mask_path,he_crop_rel,ficture_crop_rel
lung_bronchiola,bronchiola,BAD,he,he_official_12445451,base_box160_s64_m1536,215,he__he_official_12445451__base_box160_s64_m1536__215,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box160_s64_m1536/candidate_masks/candidate_215.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__215_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__215_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,BAD,he,he_official_12445451,base_box160_s64_m2048,77,he__he_official_12445451__base_box160_s64_m2048__077,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box160_s64_m2048/candidate_masks/candidate_077.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m2048__077_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m2048__077_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,BAD,he,he_official_12445451,base_box192_s64_m1536,104,he__he_official_12445451__base_box192_s64_m1536__104,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box192_s64_m1536/candidate_masks/candidate_104.png,candidate_pair_crops/he__he_official_12445451__base_box192_s64_m1536__104_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box192_s64_m1536__104_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,GOOD,he,he_official_12445451,base_box384_s128_m1536,13,he__he_official_12445451__base_box384_s128_m1536__013,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box384_s128_m1536/candidate_masks/candidate_013.png,candidate_pair_crops/he__he_official_12445451__base_box384_s128_m1536__013_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box384_s128_m1536__013_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,GOOD,he,he_official_12445451,base_official_boxes_b384_s96,19,he__he_official_12445451__base_official_boxes_b384_s96__019,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_official_boxes_b384_s96/candidate_masks/candidate_019.png,candidate_pair_crops/he__he_official_12445451__base_official_boxes_b384_s96__019_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_official_boxes_b384_s96__019_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,GOOD,he,he_official_12445451,base_box512_s160_m2048,29,he__he_official_12445451__base_box512_s160_m2048__029,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box512_s160_m2048/candidate_masks/candidate_029.png,candidate_pair_crops/he__he_official_12445451__base_box512_s160_m2048__029_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box512_s160_m2048__029_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,GOOD,he,he_official_12445451,base_box384_s128_m2048,7,he__he_official_12445451__base_box384_s128_m2048__007,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box384_s128_m2048/candidate_masks/candidate_007.png,candidate_pair_crops/he__he_official_12445451__base_box384_s128_m2048__007_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box384_s128_m2048__007_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,GOOD,ficture,ficture_official_11938227,base_box512_s160_m2048,31,ficture__ficture_official_11938227__base_box512_s160_m2048__031,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938227/base_box512_s160_m2048/candidate_masks/candidate_031.png,candidate_pair_crops/ficture__ficture_official_11938227__base_box512_s160_m2048__031_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938227__base_box512_s160_m2048__031_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,MID,ficture,ficture_official_11940971,base_box128_s48_m1536,176,ficture__ficture_official_11940971__base_box128_s48_m1536__176,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11940971/base_box128_s48_m1536/candidate_masks/candidate_176.png,candidate_pair_crops/ficture__ficture_official_11940971__base_box128_s48_m1536__176_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11940971__base_box128_s48_m1536__176_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,MID,ficture,ficture_official_11938226,base_box128_s48_m1536,175,ficture__ficture_official_11938226__base_box128_s48_m1536__175,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938226/base_box128_s48_m1536/candidate_masks/candidate_175.png,candidate_pair_crops/ficture__ficture_official_11938226__base_box128_s48_m1536__175_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938226__base_box128_s48_m1536__175_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,MID,ficture,ficture_official_11938228,medical_box192_s64_m2048,195,ficture__ficture_official_11938228__medical_box192_s64_m2048__195,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938228/medical_box192_s64_m2048/candidate_masks/candidate_195.png,candidate_pair_crops/ficture__ficture_official_11938228__medical_box192_s64_m2048__195_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938228__medical_box192_s64_m2048__195_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,MID,he,he_official_12445451,medical_box192_s64_m2048,144,he__he_official_12445451__medical_box192_s64_m2048__144,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/medical_box192_s64_m2048/candidate_masks/candidate_144.png,candidate_pair_crops/he__he_official_12445451__medical_box192_s64_m2048__144_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__medical_box192_s64_m2048__144_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,MID,he,he_official_12445451,base_box160_s64_m2048,77,he__he_official_12445451__base_box160_s64_m2048__077,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box160_s64_m2048/candidate_masks/candidate_077.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m2048__077_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m2048__077_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,BAD,he,he_official_12445451,base_box160_s64_m1536,337,he__he_official_12445451__base_box160_s64_m1536__337,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box160_s64_m1536/candidate_masks/candidate_337.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__337_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__337_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,BAD,he,he_official_12445451,base_box160_s64_m1536,215,he__he_official_12445451__base_box160_s64_m1536__215,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box160_s64_m1536/candidate_masks/candidate_215.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__215_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__215_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,BAD,he,he_official_12445451,base_box160_s64_m2048,150,he__he_official_12445451__base_box160_s64_m2048__150,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box160_s64_m2048/candidate_masks/candidate_150.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m2048__150_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m2048__150_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,BAD,he,he_official_12445451,base_box192_s64_m1536,377,he__he_official_12445451__base_box192_s64_m1536__377,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box192_s64_m1536/candidate_masks/candidate_377.png,candidate_pair_crops/he__he_official_12445451__base_box192_s64_m1536__377_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box192_s64_m1536__377_ficture_reverse_blur_gray.png
lung_alveoli_normal_adjacent,alveoli,BAD,he,he_official_12445451,base_box192_s64_m1536,146,he__he_official_12445451__base_box192_s64_m1536__146,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box192_s64_m1536/candidate_masks/candidate_146.png,candidate_pair_crops/he__he_official_12445451__base_box192_s64_m1536__146_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box192_s64_m1536__146_ficture_reverse_blur_gray.png
lung_vessels,vessels,GOOD,he,he_official_12445451,base_box512_s160_m1536,43,he__he_official_12445451__base_box512_s160_m1536__043,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box512_s160_m1536/candidate_masks/candidate_043.png,candidate_pair_crops/he__he_official_12445451__base_box512_s160_m1536__043_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box512_s160_m1536__043_ficture_reverse_blur_gray.png
lung_vessels,vessels,GOOD,ficture,ficture_official_11938228,medical_box512_s160_m1536,25,ficture__ficture_official_11938228__medical_box512_s160_m1536__025,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938228/medical_box512_s160_m1536/candidate_masks/candidate_025.png,candidate_pair_crops/ficture__ficture_official_11938228__medical_box512_s160_m1536__025_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938228__medical_box512_s160_m1536__025_ficture_reverse_blur_gray.png
lung_vessels,vessels,GOOD,he,he_official_12445451,base_box384_s128_m1536,69,he__he_official_12445451__base_box384_s128_m1536__069,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box384_s128_m1536/candidate_masks/candidate_069.png,candidate_pair_crops/he__he_official_12445451__base_box384_s128_m1536__069_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box384_s128_m1536__069_ficture_reverse_blur_gray.png
lung_vessels,vessels,GOOD,he,he_official_12445451,medical_box512_s160_m1536,19,he__he_official_12445451__medical_box512_s160_m1536__019,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/medical_box512_s160_m1536/candidate_masks/candidate_019.png,candidate_pair_crops/he__he_official_12445451__medical_box512_s160_m1536__019_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__medical_box512_s160_m1536__019_ficture_reverse_blur_gray.png
lung_vessels,vessels,GOOD,he,he_official_12445451,medical_box512_s160_m2048,29,he__he_official_12445451__medical_box512_s160_m2048__029,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/medical_box512_s160_m2048/candidate_masks/candidate_029.png,candidate_pair_crops/he__he_official_12445451__medical_box512_s160_m2048__029_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__medical_box512_s160_m2048__029_ficture_reverse_blur_gray.png
lung_vessels,vessels,MID,he,he_official_12445451,medical_point48_m1024_p900,231,he__he_official_12445451__medical_point48_m1024_p900__231,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/medical_point48_m1024_p900/candidate_masks/candidate_231.png,candidate_pair_crops/he__he_official_12445451__medical_point48_m1024_p900__231_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__medical_point48_m1024_p900__231_ficture_reverse_blur_gray.png
lung_vessels,vessels,MID,ficture,ficture_official_11938228,medical_box384_s128_m2048,88,ficture__ficture_official_11938228__medical_box384_s128_m2048__088,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938228/medical_box384_s128_m2048/candidate_masks/candidate_088.png,candidate_pair_crops/ficture__ficture_official_11938228__medical_box384_s128_m2048__088_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938228__medical_box384_s128_m2048__088_ficture_reverse_blur_gray.png
lung_vessels,vessels,MID,he,he_official_12445451,base_box256_s96_m1536,123,he__he_official_12445451__base_box256_s96_m1536__123,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box256_s96_m1536/candidate_masks/candidate_123.png,candidate_pair_crops/he__he_official_12445451__base_box256_s96_m1536__123_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box256_s96_m1536__123_ficture_reverse_blur_gray.png
lung_vessels,vessels,MID,he,he_official_12445451,medical_point80_m1024_p500,85,he__he_official_12445451__medical_point80_m1024_p500__085,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/medical_point80_m1024_p500/candidate_masks/candidate_085.png,candidate_pair_crops/he__he_official_12445451__medical_point80_m1024_p500__085_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__medical_point80_m1024_p500__085_ficture_reverse_blur_gray.png
lung_vessels,vessels,MID,he,he_official_12445451,base_box192_s64_m1536,146,he__he_official_12445451__base_box192_s64_m1536__146,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box192_s64_m1536/candidate_masks/candidate_146.png,candidate_pair_crops/he__he_official_12445451__base_box192_s64_m1536__146_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box192_s64_m1536__146_ficture_reverse_blur_gray.png
lung_vessels,vessels,BAD,he,he_official_12445451,base_box128_s48_m1536,267,he__he_official_12445451__base_box128_s48_m1536__267,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box128_s48_m1536/candidate_masks/candidate_267.png,candidate_pair_crops/he__he_official_12445451__base_box128_s48_m1536__267_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box128_s48_m1536__267_ficture_reverse_blur_gray.png
lung_vessels,vessels,BAD,he,he_official_12445451,base_box128_s48_m1536,61,he__he_official_12445451__base_box128_s48_m1536__061,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box128_s48_m1536/candidate_masks/candidate_061.png,candidate_pair_crops/he__he_official_12445451__base_box128_s48_m1536__061_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box128_s48_m1536__061_ficture_reverse_blur_gray.png
lung_vessels,vessels,BAD,he,he_official_12445451,base_box160_s64_m1536,337,he__he_official_12445451__base_box160_s64_m1536__337,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box160_s64_m1536/candidate_masks/candidate_337.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__337_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__337_ficture_reverse_blur_gray.png
lung_vessels,vessels,BAD,he,he_official_12445451,base_box160_s64_m1536,40,he__he_official_12445451__base_box160_s64_m1536__040,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box160_s64_m1536/candidate_masks/candidate_040.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__040_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__040_ficture_reverse_blur_gray.png
lung_vessels,vessels,BAD,he,he_official_12445451,base_box160_s64_m2048,150,he__he_official_12445451__base_box160_s64_m2048__150,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box160_s64_m2048/candidate_masks/candidate_150.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m2048__150_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m2048__150_ficture_reverse_blur_gray.png
tumor,tumor,GOOD,ficture,ficture_official_11938226,base_official_points_step32,56,ficture__ficture_official_11938226__base_official_points_step32__056,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938226/base_official_points_step32/candidate_masks/candidate_056.png,candidate_pair_crops/ficture__ficture_official_11938226__base_official_points_step32__056_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938226__base_official_points_step32__056_ficture_reverse_blur_gray.png
tumor,tumor,GOOD,ficture,ficture_official_11942555,base_official_points_step24,70,ficture__ficture_official_11942555__base_official_points_step24__070,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11942555/base_official_points_step24/candidate_masks/candidate_070.png,candidate_pair_crops/ficture__ficture_official_11942555__base_official_points_step24__070_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11942555__base_official_points_step24__070_ficture_reverse_blur_gray.png
tumor,tumor,GOOD,ficture,ficture_official_11940972,base_point80_m1536_p700,5,ficture__ficture_official_11940972__base_point80_m1536_p700__005,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11940972/base_point80_m1536_p700/candidate_masks/candidate_005.png,candidate_pair_crops/ficture__ficture_official_11940972__base_point80_m1536_p700__005_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11940972__base_point80_m1536_p700__005_ficture_reverse_blur_gray.png
tumor,tumor,GOOD,ficture,ficture_official_11938229,base_point80_m1536_p700,5,ficture__ficture_official_11938229__base_point80_m1536_p700__005,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938229/base_point80_m1536_p700/candidate_masks/candidate_005.png,candidate_pair_crops/ficture__ficture_official_11938229__base_point80_m1536_p700__005_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938229__base_point80_m1536_p700__005_ficture_reverse_blur_gray.png
tumor,tumor,GOOD,ficture,ficture_official_11938229,base_point96_m1536_p500,3,ficture__ficture_official_11938229__base_point96_m1536_p500__003,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938229/base_point96_m1536_p500/candidate_masks/candidate_003.png,candidate_pair_crops/ficture__ficture_official_11938229__base_point96_m1536_p500__003_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938229__base_point96_m1536_p500__003_ficture_reverse_blur_gray.png
tumor,tumor,MID,ficture,ficture_official_11938227,base_box384_s128_m1536,15,ficture__ficture_official_11938227__base_box384_s128_m1536__015,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938227/base_box384_s128_m1536/candidate_masks/candidate_015.png,candidate_pair_crops/ficture__ficture_official_11938227__base_box384_s128_m1536__015_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938227__base_box384_s128_m1536__015_ficture_reverse_blur_gray.png
tumor,tumor,MID,ficture,ficture_official_11938227,base_box512_s160_m2048,15,ficture__ficture_official_11938227__base_box512_s160_m2048__015,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938227/base_box512_s160_m2048/candidate_masks/candidate_015.png,candidate_pair_crops/ficture__ficture_official_11938227__base_box512_s160_m2048__015_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938227__base_box512_s160_m2048__015_ficture_reverse_blur_gray.png
tumor,tumor,MID,he,he_official_12445451,medical_box512_s160_m1536,11,he__he_official_12445451__medical_box512_s160_m1536__011,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/medical_box512_s160_m1536/candidate_masks/candidate_011.png,candidate_pair_crops/he__he_official_12445451__medical_box512_s160_m1536__011_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__medical_box512_s160_m1536__011_ficture_reverse_blur_gray.png
tumor,tumor,MID,he,he_official_12445451,base_box384_s128_m1536,14,he__he_official_12445451__base_box384_s128_m1536__014,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box384_s128_m1536/candidate_masks/candidate_014.png,candidate_pair_crops/he__he_official_12445451__base_box384_s128_m1536__014_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box384_s128_m1536__014_ficture_reverse_blur_gray.png
tumor,tumor,MID,he,he_official_12445451,base_box512_s160_m2048,11,he__he_official_12445451__base_box512_s160_m2048__011,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box512_s160_m2048/candidate_masks/candidate_011.png,candidate_pair_crops/he__he_official_12445451__base_box512_s160_m2048__011_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box512_s160_m2048__011_ficture_reverse_blur_gray.png
tumor,tumor,BAD,he,he_official_12445451,base_box160_s64_m1536,215,he__he_official_12445451__base_box160_s64_m1536__215,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box160_s64_m1536/candidate_masks/candidate_215.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__215_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__215_ficture_reverse_blur_gray.png
